État physique;Nom du produit (sur packaging);IUPAC - Formule Brute;Quantités en stock;Unité;Étagère;Pictogrammes;Mars 2025;Juillet 2025;Juillet 2026;Besoin URGENT;;;;;;;;;;
SOLIDE;FER II SULFATE HEPTAHYDRATÉ;SULFATE DE FER (II) HEPTAHYDRATÉ - FESO4·7H2O;300;g;labo;SGH07;300;;;;;;;;;;;;;
SOLIDE;FER II SULFATE HEPTAHYDRATÉ;SULFATE DE FER (II) HEPTAHYDRATÉ - FESO4·7H2O;2200;g;7;SGH07;2200;;;;;;;;;;;;;
SOLIDE;FER III  SULFATE;SULFATE DE FER (III) - FE2(SO4)3;50;g;labo;SGH05 SGH07;50;;;;;;;;;;;;;
SOLIDE;FER III  SULFATE;SULFATE DE FER (III) - FE2(SO4)3;320;g;7;SGH05 SGH07;320;;;;;;;;;;;;;
LIQUIDE;FER III CHLORURE;CHLORURE DE FER (III) - FECL3;200;mL;5 LP;SGH05 SGH07;200;;;;;;;;;;;;;
LIQUIDE;FER III CHLORURE PUR;CHLORURE DE FER (III) - FECL3;2;mL;5 LP;SGH05 SGH07;2;;;;;;;;;;;;;
LIQUIDE;FER III CHLORURE ;CHLORURE DE FER (III) - FECL3;600;mL;7;SGH05 SGH07;600;;;;;;;;;;;;;
SOLIDE;FER III CHLORURE ;CHLORURE DE FER (III) - FECL3;50;g;7;SGH05 SGH07;50;;;;;;;;;;;;;
SOLIDE;FER III OXYDE;OXYDE DE FER (III) - FE2O3;200;g;7;SGH07;200;;;;;;;;;;;;;
SOLIDE;FER POUDRE;FER - FE;910;g;7;SGH07;910;;;;;;;;;;;;;
SOLIDE;FER R.P;FER - FE;100;g;5 LP;SGH07;100;;;;;;;;;;;;;
LIQUIDE;FER SULFATE ANTIMOUSSE;SULFATE DE FER;4000;mL;7;SGH07;4000;;;;;;;;;;;;;
SOLIDE;FER SULFURE;SULFURE DE FER - FES;800;g;5 LP;;800;;;;;;;;;;;;;
LIQUIDE;FEROÏNE;;50;mL;6;SGH09;50;;;;;;;;;;;;;
SOLIDE;FERRICYANURE DE POTASSIUM;FERRICYANURE DE POTASSIUM - K3[FE(CN)6];50;g;5 LP;NON;50;;;;;;;;;;;;;
SOLIDE;FERROIN INDICATOR;;143;g;4;NON;143;;;;;;;;;;;;;
SOLIDE;FLUORESCÉINE;FLUORESCÉINE - C20H12O5;50;g;5 LP;;50;;;;;;;;;;;;;
LIQUIDE;FORMALDEHYDE;MÉTHANAL FORMALDÉHYDE;0;mL;;SGH05 SGH06 SGH08;;;;;;;;;;;;;;
SOLIDE;FRUCTOSE D-;;700;g;7;NON;700;;;;;;;;;;;;;
SOLIDE;FRUITS ET VIGNES GRIOTTES;;50;g;5 LP;;50;;;;;;;;;;;;;
SOLIDE;FUCHSINE DE ZIEHL;;70;g;6;;70;;;;;;;;;;;;;
LIQUIDE;FUCHSINE DE ZIEHL;;100;mL;6;;100;;;;;;;;;;;;;
SOLIDE;GEL DE SILICE;;500;g;5 LP;;500;;;;;;;;;;;;;
SOLIDE;GEL DE SILICE;;800;g;4;;800;;;;;;;;;;;;;
SOLIDE;GELATINE;;150;g;7;;150;;;;;;;;;;;;;
SOLIDE;GLUCOSE (D) ANHYDRE;;800;g;;;800;;;;;;;;;;;;;
SOLIDE;GLUCOSE (D) MONOHYDRATE;;100;g;;;100;;;;;;;;;;;;;
SOLIDE;GLUCOSE D + ANHYDRE;;600;g;5 LP;;600;;;;;;;;;;;;;
SOLIDE;GLUCOSE MONOHYDRATE COMPOSANT A;;10;g;7;;10;;;;;;;;;;;;;
SOLIDE;GLUCOSE PUR;;100;g;5 LP;;100;;;;;;;;;;;;;
LIQUIDE;GLYCEROL;PROPANE-1,2,3-TRIOL;600;mL;labo;;600;;;;;;;;;;;;;
LIQUIDE;GLYCEROL;PROPANE-1,2,3-TRIOL;3000;mL;4;;3000;;;;;;;;;;;;;
LIQUIDE;GLYCÉROL;PROPANE-1,2,3-TRIOL;2150;mL;5 LP;;2150;;;;;;;;;;;;;
SOLIDE;GOMME ARABIQUE;-;100;g;4;;100;;;;;;;;;;;;;
LIQUIDE;HÉLIANTHINE;HÉLIANTHINE (COLORANT) - C16H10N2O2;250;mL;5 LP;;250;;;;;;;;;;;;;
SOLIDE;HÉLIANTHINE;HÉLIANTHINE (COLORANT) - C16H10N2O2;150;g;6;;150;;;;;;;;;;;;;
SOLIDE;HÉLIANTHINE PUR;HÉLIANTHINE (COLORANT) - C16H10N2O2;65;g;5 LP;;65;;;;;;;;;;;;;
LIQUIDE;HEPTANE;HEPTANE - C7H16;150;mL;3;SGH02 SGH07 SGH08 SGH09;150;;;;;;;;;;;;;
LIQUIDE;HEXANE;HEXANE - C6H14;1000;mL;3;SGH02 SGH07 SGH08 SGH09;1000;;;;;;;;;;;;;
LIQUIDE;HEXANE-1-6-DIAMINE;HEXANE-1,6-DIAMINE - C6H14N2;125;mL;3;SGH05 SGH07;125;;;;;;;;;;;;;
LIQUIDE;HUILE VASELINE;-;800;mL;5 LP;;800;;;;;;;;;;;;;
SOLIDE;HYDROQUINONE;HYDROQUINONE - C6H4(OH)2;590;g;4;SGH05 SGH07 SGH08 SGH09;590;;;;;;;;;;;;;
SOLIDE;HYDROXYDE DE BARYUM;HYDROXYDE DE BARYUM - BA(OH)2;650;g;7;;650;;;;;;;;;;;;;
SOLIDE;INDIGO;-;4;g;6;;4;;;;;;;;;;;;;
SOLIDE;IODE  ;-;165;g;6;SGH07 SGH08 SGH09;165;;;;;;;;;;;;;
SOLIDE;IODE AMPOULE;-;0;g;;SGH08 SGH07;;;;;;;;;;;;;;
SOLIDE;IODE BISUBLIMÉ;-;10;g;5 LP;SGH08 SGH07 SGH09;10;;;;;;;;;;;;;
SOLIDE;IODE BISUBLIMÉ;-;11;g;5 LP;SGH08 SGH07 SGH09;11;;;;;;;;;;;;;
LIQUIDE;IODE SOLUTION;-;250;mL;5 LP;SGH08 SGH07;250;;;;;;;;;;;;;
SOLIDE;JAUNE TITAN OU THIAZOL;-;9;g;5 LP;;9;;;;;;;;;;;;;
SOLIDE;JAUNE TITAN OU THIAZOL;-;15;g;6;;15;;;;;;;;;;;;;
LIQUIDE;KIT NYLON;-;130;mL;3+4;;130;;;;;;;;;;;;;
SOLIDE;LACTASE;-;10;comprimés;6;;10;;;;;;;;;;;;;
SOLIDE;LACTOSE (D+) MONOHYDRATÉ;-;160;g;7;;160;;;;;;;;;;;;;
SOLIDE;LACTOSE MONOHYDRATE;-;0;g;;;;;;;;;;;;;;;;
SOLIDE;LESSIVE CRISTAUX DE SOUDE;-;500;g;6;SGH05;500;;;;;;;;;;;;;
SOLIDE;LEUCINE L;-;32;g;4;;32;;;;;;;;;;;;;
SOLIDE;LEVULOSE;-;350;g;7;;350;;;;;;;;;;;;;
LIQUIDE;LIMONENE;-;0;mL;;SGH02 SGH07 SGH08 SGH09;;;;;;;;;;;;;;
LIQUIDE;LINALOL;-;0;mL;;;;;;;;;;;;;;;;
SOLIDE;LITHIUM;LITHIUM - LI;30;g;5 LP;SGH02 SGH05;30;;;;;;;;;;;;;
SOLIDE;LITHIUM;LITHIUM - LI;370;g;6;SGH02 SGH05;370;;;;;;;;;;;;;
LIQUIDE;LUGOL (IODURE DE POTASSIUM IODÉE);SOLUTION DE LUGOL (IODURE DE POTASSIUM ET IODE) - KI + I2 DANS H2O;80;mL;6;;80;;;;;;;;;;;;;
LIQUIDE;LUGOL (IODURE DE POTASSIUM IODÉE);SOLUTION DE LUGOL (IODURE DE POTASSIUM ET IODE) - KI + I2 DANS H2O;20;mL;4;;20;;;;;;;;;;;;;
SOLIDE;LUMINOL;LUMINOL - C8H7N3O2;0,5;g;5 LP;SGH07;0,5;;;;;;;;;;;;;
SOLIDE;LUMINOL;LUMINOL - C8H7N3O2;5;g;4;SGH07;5;;;;;;;;;;;;;
SOLIDE;MAGNESIUM CHLORURE;CHLORURE DE MAGNÉSIUM - MGCL2;400;g;7;SGH07;400;;;;;;;;;;;;;
SOLIDE;MAGNÉSIUM CHLORURE;CHLORURE DE MAGNÉSIUM - MGCL2;450;g;5 LP;SGH07;450;;;;;;;;;;;;;
SOLIDE;MAGNÉSIUM EN RUBAN;MAGNÉSIUM - MG;25;g;7;SGH02;25;;;;;;;;;;;;;
SOLIDE;MAGNESIUM SULFATE;SULFATE DE MAGNÉSIUM - MGSO4;20;g;labo;;20;;;;;;;;;;;;;
SOLIDE;MAGNESIUM SULFATE;SULFATE DE MAGNÉSIUM - MGSO4;2600;g;7;;2600;;;;;;;;;;;;;
SOLIDE;MAGNÉSIUM SULFATE ANHYDRE;SULFATE DE MAGNÉSIUM - MGSO4;550;g;5 LP;;550;;;;;;;;;;;;;
SOLIDE;MAGNÉSIUM SULFATE ANHYDRE;SULFATE DE MAGNÉSIUM - MGSO4;400;g;5 LP;;400;;;;;;;;;;;;;
SOLIDE;MANGANÈSE CHLORURE;CHLORURE DE MANGANÈSE(II) - MNCL2;150;g;7;;150;;;;;;;;;;;;;
SOLIDE;MANGANÈSE SULFATE MONOHYDRATÉ;SULFATE DE MAGNÉSIUM - MGSO4;800;g;7;;800;;;;;;;;;;;;;
SOLIDE;MÉLANGE ÉQUIMOLAIRE FE + S;SULFATE DE MAGNÉSIUM - MGSO4;80;g;5 LP;;80;;;;;;;;;;;;;
SOLIDE;MÉLANGE FE + S;-;10;g;5 LP;;10;;;;;;;;;;;;;
SOLIDE;MENTHOL;MENTHOL - C10H20O;250;g;4;SGH07;250;;;;;;;;;;;;;
SOLIDE;MÉTABISULFITE DE POTASSIUM;MÉTABISULFITE DE POTASSIUM - K2S2O5;20;g;7;SGH05 SGH07;20;;;;;;;;;;;;;
LIQUIDE;METHANOATE D'ETHYLE;FORMIATE D'ETHYLE;400;mL;3;;400;;;;;;;;;;;;;
LIQUIDE;METHANOL;MÉTHANOL - CH3OH;3500;mL;3;SGH02 SGH07;3500;;;;;;;;;;;;;
LIQUIDE;METHYL 2 BUTENE 2 (2-MÉTHYLBUT-2-ÈNE);2-MÉTHYLBUT-2-ÈNE - C5H10;125;mL;3;SGH02 SGH07 SGH08 SGH09;125;;;;;;;;;;;;;
LIQUIDE;METHYL 2 PROPANOL 1 (ISOBUTANOL);2-MÉTHYLPROPAN-1-OL - C4H10O;1000;mL;3;SGH02 SGH05 SGH07;1000;;;;;;;;;;;;;
LIQUIDE;METHYL 3 BUTANOL 1 (3-MÉTHYLBUTAN-1-OL);3-MÉTHYLBUTAN-1-OL - C5H12O;1300;mL;3;SGH02 SGH07;1300;;;;;;;;;;;;;
LIQUIDE;METHYL METHACRYLATE;MÉTHACRYLATE DE MÉTHYLE - C5H8O2;400;mL;3;SGH02 SGH07;400;;;;;;;;;;;;;
LIQUIDE;METHYLAMINE;MÉTHYLAMINE - CH3NH2;0;mL;;SGH02 SGH04 SGH05 SGH07;;;;;;;;;;;;;;
LIQUIDE;METHYLE-3-BUTANOL-1;3-MÉTHYLBUTAN-1-OL - C5H12O;0;mL;;SGH02 SGH07;;;;;;;;;;;;;;
LIQUIDE;N HEXANE;HEXANE - C6H14;1500;mL;3;SGH02 SGH07 SGH08 SGH09;1500;;;;;;;;;;;;;
SOLIDE;NAPHTALÈNE PUR;NAPHTHALÈNE - C10H8;400;g;5 LP;SGH07 SGH08 SGH09;400;;;;;;;;;;;;;
SOLIDE;NAPHTALINE;-;700;g;5 LP;SGH07 SGH08 SGH09;700;;;;;;;;;;;;;
SOLIDE;NAPHTOL1;1-NAPHTOL - C10H8O;1400;g;3;;1400;;;;;;;;;;;;;
SOLIDE;NICKEL II SULFATE;SULFATE DE NICKEL(II) - NISO4;200;g;5 LP;SGH07 SGH08 SGH09;200;;;;;;;;;;;;;
SOLIDE;NICKEL POUDRE ;NICKEL (POUDRE) - NI;80;g;6;SGH07 SGH08;80;;;;;;;;;;;;;
SOLIDE;NICKEL POUDRE BILLE;NICKEL (POUDRE) - NI;30;g;6;SGH07 SGH08;30;;;;;;;;;;;;;
LIQUIDE;NINHYDRINE (RÉACTIF À);-;350;mL;4;;350;;;;;;;;;;;;;
SOLIDE;NINHYDRINE (RÉACTIF À);-;1;g;6;;1;;;;;;;;;;;;;
SOLIDE;NITRO 2 BENZALDÉHYDE;2-NITROBENZALDÉHYDE - C7H5NO3;137;g;3;SGH07;137;;;;;;;;;;;;;
SOLIDE;NOIR ERIOCHROME T (NET);NOIR ERIOCHROME T (COLORANT) - C20H12N3NAO7S;50;g;4;SGH07 SGH09;50;;;;;;;;;;;;;
LIQUIDE;N-PROPYL ALCOHOL (PROPAN-1-OL OU ALCOOL PROPYLIQUE);PROPAN-1-OL - C3H8O;2000;mL;3;SGH02 SGH05 SGH07;2000;;;;;;;;;;;;;
LIQUIDE;OCTOATE DE COBALT;OCTOATE DE COBALT - C8H15COO2;5;mL;5 LP;SGH08 SGH07 SGH09;5;;;;;;;;;;;;;
LIQUIDE;ORTHOPHÉNANTHROLINE FERREUSE;ORTHOPHÉNANTHROLINE FERREUSE (COMPLEXE AVEC FER) - C12H8N2FE;130;mL;6;SGH06 SGH09;130;;;;;;;;;;;;;
SOLIDE;ORTHOPHÉNANTHROLINE MONOHYDRATÉ;ORTHOPHÉNANTHROLINE FERREUSE (COMPLEXE AVEC FER) - C12H8N2FE;1;g;6;SGH06 SGH09;1;;;;;;;;;;;;;
SOLIDE;OXYDE DE CUIVRE ANHYDRE;OXYDE DE CUIVRE(I) ANHYDRE - CU2O;70;g;5 LP;SGH07 SGH09;70;;;;;;;;;;;;;
SOLIDE;OXYDE DE ZINC;OXYDE DE ZINC - ZNO;250;g;5 LP;SGH09;250;;;;;;;;;;;;;
SOLIDE;PANCREATINE;-;30;g;7;SGH08 SGH07;30;;;;;;;;;;;;;
SOLIDE;PARA AMINOPHENOL;PARA-AMINOPHÉNOL - C6H7NO;559;g;4;SGH07 SGH09;559;;;;;;;;;;;;;
LIQUIDE;PENTAN-1-OL;PENTANOL - C5H12O;1600;mL;3;SGH02 SGH07;1600;;;;;;;;;;;;;
SOLIDE;PEPSINE;-;2;g;6;SGH08 SGH07;2;;;;;;;;;;;;;
SOLIDE;PERLES INCONNUES;-;0;g;5 LP;;;;;urgent;;;;;;;;;;
SOLIDE;PEROXYDE DE BENZOYLE;PEROXYDE DE BENZOYLE - C14H10O4;150;g;2;SGH02 SGH07 SGH09;150;;;;;;;;;;;;;
LIQUIDE;PEROXYDE HYDROGENE (RÉFRIGÉRATEUR);PEROXYDE D'HYDROGÈNE - H2O2;0;mL;;SGH03 SGH05 SGH07;;;;;;;;;;;;;;
LIQUIDE;PEROXYDE HYDROGENE 130 vol (RÉFRIGÉRATEUR);PEROXYDE D'HYDROGÈNE - H2O2;700;mL;;SGH03 SGH05 SGH07;700;;;;;;;;;;;;;
LIQUIDE;PEROXYDE HYDROGENE 33 % (RÉFRIGÉRATEUR);PEROXYDE D'HYDROGÈNE - H2O2;800;mL;;SGH03 SGH05 SGH07;800;;;;;;;;;;;;;
LIQUIDE;PEROXYDE HYDROGENE20V (RÉFRIGÉRATEUR);PEROXYDE D'HYDROGÈNE - H2O2;0;mL;;SGH03 SGH05 SGH07;;;;;;;;;;;;;;
SOLIDE ;PHÉNANTHROLINE-1,10;1,10-PHÉNANTHROLINE - C12H8N2;2;g;6;SGH06 SGH09;2;;;;;;;;;;;;;
LIQUIDE;PHENANTROLINE;1,10-PHÉNANTHROLINE - C12H8N2;0;mL;;SGH06 SGH09;;;;;;;;;;;;;;
SOLIDE;PHENOLPHTALEINE;PHÉNOLPHTALÉINE - C20H14O4;50;g;6;SGH08;50;;;;;;;;;;;;;
LIQUIDE;PHENOLPHTALEINE;PHÉNOLPHTALÉINE - C20H14O4;0;mL;;SGH08;;;;;;;;;;;;;;
SOLIDE;PHÉNOLPHTALÉINE;PHÉNOLPHTALÉINE - C20H14O4;215;g;5 LP;SGH08;215;;;;;;;;;;;;;
SOLIDE;PLÂTRE;PLÂTRE (GYPSE) - CASO4·2H2O;500;g;7;;500;;;;;;;;;;;;;
SOLIDE;PLOMB;PLOMB - PB;650;g;5 LP;SGH07 SGH08 SGH09;650;;;;;;;;;;;;;
SOLIDE;PLOMB NITRATE;NITRATE DE PLOMB(II) - PB(NO3)2;300;g;7;SGH03 SGH07 SGH08 SGH09;300;;;;;;;;;;;;;
SOLIDE;POTASSIUM;POTASSIUM - K;2;g;5 LP;SGH02 SGH05;2;;;;;;;;;;;;;
SOLIDE;POTASSIUM;POTASSIUM - K;150;g;7;SGH02 SGH05;150;;;;;;;;;;;;;
SOLIDE;POTASSIUM BROMATE;BROMATE DE POTASSIUM - KBRO3;75;g;7;SGH03 SGH06 SGH08;75;;;;;;;;;;;;;
SOLIDE;POTASSIUM BROMURE;BROMURE DE POTASSIUM - KBR;260;g;7;SGH07;260;;;;;;;;;;;;;
SOLIDE;POTASSIUM CHLORURE (K CL);CHLORURE DE POTASSIUM - KCL;2450;g;5 LP;;2450;;;;;;;;;;;;;
SOLIDE;POTASSIUM CHLORURE (K CL);CHLORURE DE POTASSIUM - KCL;200;g;labo;;200;;;;;;;;;;;;;
SOLIDE;POTASSIUM CHLORURE (K CL);CHLORURE DE POTASSIUM - KCL;20;g;7;;20;;;;;;;;;;;;;
SOLIDE;POTASSIUM CHROMATE;CHROMATE DE POTASSIUM - K2CRO4;110;g;7;SGH07 SGH08 SGH09;110;;;;;;;;;;;;;
SOLIDE;POTASSIUM DICHROMATE;DICHROMATE DE POTASSIUM - K2CR2O7;100;g;5 LP;SGH03 SGH05 SGH06 SGH08 SGH09;100;;;;;;;;;;;;;
SOLIDE;POTASSIUM DICHROMATE;DICHROMATE DE POTASSIUM - K2CR2O7;1900;g;7;SGH03 SGH05 SGH06 SGH08 SGH09;1900;;;;;;;;;;;;;
SOLIDE;POTASSIUM DIHYDROGÉNOPHOSPHATE;DIHYDROGÉNOPHOSPHATE DE POTASSIUM - KH2PO4;400;g;7;;400;;;;;;;;;;;;;
SOLIDE;POTASSIUM HEXACYANOFERRATE;HEXACYANOFERRATE DE POTASSIUM - K3[FE(CN)6];0;g;;;;;;;;;;;;;;;;
SOLIDE;POTASSIUM HEXACYANOFERRATE II;HEXACYANOFERRATE(II) DE POTASSIUM - K4[FE(CN)6];50;g;5 LP;;50;;;;;;;;;;;;;
SOLIDE;POTASSIUM HEXACYANOFERRATE III;HEXACYANOFERRATE(III) DE POTASSIUM - K3[FE(CN)6];1500;g;5 LP;;1500;;;;;;;;;;;;;
SOLIDE;POTASSIUM HYDROXYDE;HYDROXYDE DE POTASSIUM - KOH;920;g;7;SGH05 SGH07;920;;;;;;;;;;;;;
SOLIDE;POTASSIUM IODATE;IODATE DE POTASSIUM - KIO3;400;g;7;SGH03 SGH07;400;;;;;;;;;;;;;
SOLIDE;POTASSIUM IODURE;IODURE DE POTASSIUM - KI;50;g;5 LP;SGH08;50;;;;;;;;;;;;;
SOLIDE;POTASSIUM IODURE;IODURE DE POTASSIUM - KI;200;g;7;SGH08;200;;;;;;;;;;;;;
SOLIDE;POTASSIUM NITRATE;NITRATE DE POTASSIUM - KNO3;800;g;5 LP;SGH03;800;;;;;;;;;;;;;
SOLIDE;POTASSIUM NITRATE;NITRATE DE POTASSIUM - KNO3;250;g;7;SGH03;250;;;;;;;;;;;;;
SOLIDE;POTASSIUM OXALATE;OXALATE DE POTASSIUM - K2C2O4;1100;g;7;SGH07;1100;;;;;;;;;;;;;
SOLIDE;POTASSIUM PERMANGANATE;PERMANGANATE DE POTASSIUM - KMNO4;1950;g;7;SGH03 SGH05 SGH07 SGH09;1950;;;;;;;;;;;;;
SOLIDE;POTASSIUM PERMANGANATE;PERMANGANATE DE POTASSIUM - KMNO4;1600;g;5 LP;SGH03 SGH05 SGH07 SGH09;1600;;;;;;;;;;;;;
SOLIDE;POTASSIUM PEROXODISULFATE;PEROXODISULFATE DE POTASSIUM - K2S2O8;250;g;7;SGH03 SGH07 SGH08 SGH09;250;;;;;;;;;;;;;
SOLIDE;POTASSIUM PHOSPHATE;PHOSPHATE DE POTASSIUM - K3PO4;0;g;7;;;;;;;;;;;;;;;
SOLIDE;POTASSIUM SODIUM L + TARTRATE;TARTRATE DE SODIUM ET DE POTASSIUM - NAKC4H4O6;100;g;7;;100;;;;;;;;;;;;;
SOLIDE;POTASSIUM SODIUM TARTRATE TÉTRAHYDRATÉ;TARTRATE DE SODIUM ET DE POTASSIUM TÉTRAHYDRATÉ - NAKC4H4O6·4H2O;400;g;7;;400;;;;;;;;;;;;;
SOLIDE;POTASSIUM SULFATE;SULFATE DE POTASSIUM - K2SO4;20;g;5 LP;;20;;;;;;;;;;;;;
SOLIDE;POTASSIUM THIOCYANATE;KSCN;610;g;7;SGH07;610;;;;;;;;;;;;;
SOLIDE;POTASSIUM TODALE;-;100;g;7;;100;;;;;;;;;;;;;
SOLIDE;PRODUIT INCONNU POUDRE BLANCHE;-;0;g;5 LP;;;;;urgent;;;;;;;;;;
SOLIDE;PRODUIT INCONNU ROUGE;-;0;g;5 LP;;;;;urgent;;;;;;;;;;
LIQUIDE;PROPAN TRIOL-1,2,3 (PROPANE-1,2,3-TRIOL);(PROPANE-1,2,3-TRIOL) - GLYCÉRINE - C3H8O3 - GLYCÉROL;400;mL;3;;400;;;;;;;;;;;;;
LIQUIDE;PROPAN-1-OL;PROPAN-1-OL - C3H8O;1800;mL;3;SGH02 SGH05 SGH07;1800;;;;;;;;;;;;;
LIQUIDE;PROPANOL 2 (ALCOOL ISOPROPYLIQUE, ISOPROPANOL);PROPAN-2-OL - C3H8O;400;mL;3;SGH02 SGH07;400;;;;;;;;;;;;;
LIQUIDE;PROPANONE;PROPANONE (ACÉTONE) C3H6O;1250;mL;3;SGH02 SGH07;1250;;;;;;;;;;;;;
LIQUIDE;REACTIF DE FEHLING;RÉACTIF DE FEHLING (SOLUTION MIXTE) - CUSO4·5H2O (A) + NAKTARTRATE (B);400;mL;4;SGH05 SGH09;400;;;;;;;;;;;;;
SOLIDE;RÉACTIF DE HILL;-;0,5;g;6;;0,5;;;;;;;;;;;;;
LIQUIDE;REACTIF DE SCHIFF;RÉACTIF DE SCHIFF - C15H16N2S (SOLUTION);700;mL;4;SGH05;700;;;;;;;;;;;;;
SOLIDE;RÉACTIF DU CALCIUM (PATTON ET REEDER);-;0;;6;SGH07;;;;;;;;;;;;;;
LIQUIDE;RÉACTIF FEHLING A;SULFATE DE CUIVRE(II) MONOHYDRATÉ - CUSO4·H2O;950;mL;5 LP;SGH05 SGH09;950;;;;;;;;;;;;;
LIQUIDE;RÉACTIF FEHLING B;TARTRATE DE SODIUM ET DE POTASSIUM - NAKC4H4O6;900;mL;5 LP;SGH05 SGH09;900;;;;;;;;;;;;;
SOLIDE;RÉSINE CATIONIQUE;-;100;g;5 LP;;100;;;;;;;;;;;;;
SOLIDE;ROUGE CONGO;C32H22N6NA2O6S2;5;g;6;SGH08 SGH07;5;;;;;;;;;;;;;
LIQUIDE;ROUGE DE COCHENILLE;ACIDE CARMINIQUE - C22H20O13;32,5;mL;6;;32,5;;;;;;;;;;;;;
SOLIDE;ROUGE DE CRESOL;-;1;g;6;SGH07;1;;;;;;;;;;;;;
LIQUIDE;ROUGE DE CRESOL;-;125;mL;6;SGH07;125;;;;;;;;;;;;;
LIQUIDE;ROUGE DE METHYLE;-;30;mL;6;SGH09;30;;;;;;;;;;;;;
SOLIDE;ROUGE DE METHYLE;-;22;g;6;SGH09;22;;;;;;;;;;;;;
LIQUIDE;ROUGE DE METHYLE;-;0;mL;;;;;;;;;;;;;;;;
SOLIDE;ROUGE DE NEUTRE;-;19;g;6;;19;;;;;;;;;;;;;
SOLIDE;ROUGE DE PHENOL;-;4;g;6;SGH07;4;;;;;;;;;;;;;
LIQUIDE;ROUGE NEUTRE;-;80;mL;6;;80;;;;;;;;;;;;;
LIQUIDE;ROUGE PONCEAU;-;50;mL;6;SGH07;50;;;;;;;;;;;;;
LIQUIDE;ROUGE SOUDAN;-;0;mL;;;;;;;;;;;;;;;;
LIQUIDE;ROUGE SOUDAN III;-;0;mL;;;;;;;;;;;;;;;;
SOLIDE;RUBAN DE MAGNESIUM;RUBAN DE MAGNÉSIUM (MAGNESIUM MÉTALLIQUE) - MG;0;g;;SGH02;;;;;;;;;;;;;;
SOLIDE;SACCHAROSE D+;SACCHAROSE - C12H22O11;2200;g;7;;2200;;;;;;;;;;;;;
SOLIDE;SACCHAROSE PUR;SACCHAROSE - C12H22O11;75;g;5 LP;;75;;;;;;;;;;;;;
LIQUIDE;SAFRANINE;SAFRANINE O - C15H15CLN4;0;mL;;SGH05;;;;;;;;;;;;;;
LIQUIDE;SEBACOYLE DICHLORURE;DICHLORURE DE SÉBACOYLE - C10H18CL2O2;300;mL;3;SGH05 SGH07;300;;;;;;;;;;;;;
LIQUIDE;SILICATE SOUDE;SILICATE DE SODIUM - NA2SIO3;2200;mL;2;SGH05 SGH07;2200;;;;;;;;;;;;;
SOLIDE;SODIUM (DI) HYDROGÉNOCARBONATE;BICARBONATE DE SODIUM - NAHCO3;800;g;labo;;800;;;;;;;;;;;;;
SOLIDE;SODIUM (DI) HYDROGÉNOCARBONATE;BICARBONATE DE SODIUM - NAHCO3;1700;g;6;;1700;;;;;;;;;;;;;
SOLIDE;SODIUM (DI) HYDROGÉNOPHOSPHATE;HYDROGÉNOPHOSPHATE DE SODIUM - NA2HPO4;1000;g;6;;1000;;;;;;;;;;;;;
SOLIDE;SODIUM (DI) TÉTRABORATE ANHYDRE;TÉTRABORATE DE SODIUM ANHYDRE - NA2B4O7;150;g;6;;150;;;;;;;;;;;;;
SOLIDE;SODIUM ACÉTATE;ÉTHANOATE DE SODIUM - NAC2H3O2;700;g;6;;700;;;;;;;;;;;;;
SOLIDE;SODIUM BENZOATE;BENZONATE DE SODIUM - C7H5NAO2;1000;g;6;SGH07;1000;;;;;;;;;;;;;
SOLIDE;SODIUM BROMURE;BROMURE DE SODIUM - NABR;300;g;5 LP;SGH07 SGH08;300;;;;;;;;;;;;;
SOLIDE;SODIUM BROMURE;BROMURE DE SODIUM - NABR;150;g;6;SGH07 SGH08;150;;;;;;;;;;;;;
SOLIDE;SODIUM CARBONATE ANHYDRE;CARBONATE DE SODIUM ANHYDRE - NA2CO3;20;g;labo;SGH07;20;;;;;;;;;;;;;
SOLIDE;SODIUM CARBONATE ANHYDRE;CARBONATE DE SODIUM ANHYDRE - NA2CO3;850;g;6;SGH07;850;;;;;;;;;;;;;
SOLIDE;SODIUM CHLORURE;CHLORURE DE SODIUM - NACL;900;g;5 LP;SGH07;900;;;;;;;;;;;;;
SOLIDE;SODIUM CHLORURE;CHLORURE DE SODIUM - NACL;800;g;labo;;800;;;;;;;;;;;;;
SOLIDE;SODIUM CHLORURE;CHLORURE DE SODIUM - NACL;1190;g;6;;1190;;;;;;;;;;;;;
SOLIDE;SODIUM DANS KERDANE;SODIUM - NA;20;g;5 LP;SGH02 SGH05;20;;;;;;;;;;;;;
SOLIDE;SODIUM DANS KERDANE;SODIUM - NA;100;g;6;SGH02 SGH05;100;;;;;;;;;;;;;
SOLIDE;SODIUM EN MORCEAUX;SODIUM - NA;1000;g;6;SGH02 SGH05;1000;;;;;;;;;;;;;
SOLIDE;SODIUM ÉTHANOATE TRIHYDRATÉ;ETHANOATE DE SODIUM TRIHYDRATÉ - NAC2H3O2·3H2O;100;g;6;;100;;;;;;;;;;;;;
SOLIDE;SODIUM FLUORURE;FLUORURE DE SODIUM - NAF;500;g;6;SGH06;500;;;;;;;;;;;;;
SOLIDE;SODIUM FORMIATE;FORMIATE DE SODIUM - HCOONA;950;g;6;;950;;;;;;;;;;;;;
SOLIDE;SODIUM HYDROGÉNOCARBONATE;BICARBONATE DE SODIUM - NAHCO3;1500;g;5 LP;;1500;;;;;;;;;;;;;
